postUrl,id,text,ownerUsername,ownerProfilePicUrl,timestamp,likesCount
https://www.instagram.com/p/CwnSn9Fvbjf/,18001290278032094,Damn... This color looks awesome❤️🔥,pintupaswan178,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-19/369990767_225281013825785_3734058625627781929_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=191SsviHpuoAX9FQOyP&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDkfLrW6IBV6Rp4g8P6__Hf1ye7nMMjtKEKGMWCglAJnQ&oe=65102091&_nc_sid=2999b8,2023-09-13T20:30:44.000Z,0
https://www.instagram.com/p/CwnSn9Fvbjf/,18237421426173182,Price kay hai,monubaba2308,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-19/339699923_619126290081829_1870745021448042220_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=97TRqPCuryUAX8gPPNG&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfB6hkQi4rRd6-GqXuadgRX75Ks0Qjy_1G07sqr3h6f2WA&oe=6510D948&_nc_sid=2999b8,2023-09-14T05:09:21.000Z,0
https://www.instagram.com/p/CwnSn9Fvbjf/,17870376731934827,"While charging my boat airdope 183,The light is not glowing in the case but earlier it used to blink while charging",sandipanroy___,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-19/367678716_684304729789750_2970948180725356041_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=phzgzzPgwnEAX_dOKHM&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDRO5STwWhafbW_2TwENWJyjH_i-Xh3-0b5VtMNDdilAQ&oe=6510D557&_nc_sid=2999b8,2023-09-14T06:58:37.000Z,0
https://www.instagram.com/p/CwnSn9Fvbjf/,17964424139631260,@h_chandann sound quality how is it bro,mrksivaa,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-19/345015293_556446999899073_7925700407714672623_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=xJuZ-I0QYxsAX_iYfqd&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAVLKCfZJUkB_jwI-PJw2gDLJY7gl9YJHcc4PogQZjQQg&oe=650FD7DD&_nc_sid=2999b8,2023-09-14T17:31:08.000Z,0
https://www.instagram.com/p/CwnSn9Fvbjf/,17998169998980568,@boat.nirvana Could you kindly tell me which AirPods have the best noise cancellation and are excellent for vlogging?,rahulmehtaofficial,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-19/379267982_1422367705211004_4913710449000840338_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=VFRJTEQTgNkAX-Tbo_Y&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfClrLR87j7elzyMyw_djDrtB2WceqKGcmohSR4EQqVUGA&oe=650FB00F&_nc_sid=2999b8,2023-09-15T07:17:10.000Z,0
https://www.instagram.com/p/CwnSn9Fvbjf/,18129581104307871,"@justpranavm Hi, we are happy to inform you that the replacement has been delivered to you. We regret the inconvenience caused to you. Please stay connected for any further assistance.",boat.nirvana,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-19/376230734_853509102873433_3498444153825120773_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=Na6nb_ByWYkAX_qRKFT&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCtugYefnmzAoDeniLXthoPim8HcmnIq_99Syt6xtns9w&oe=650F9AF4&_nc_sid=2999b8,2023-09-15T14:16:21.000Z,0
https://www.instagram.com/p/CwnSn9Fvbjf/,18300717850191126,👍💯,__nikhil__dhakad__,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-19/331546893_221588226948018_543701887729844110_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=ecJ7yy1jAMwAX_Rajsb&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfA-KWJsnz-Pi2lkVqaS3mGQ_LCOK7msAMB7Br9RYr1yNQ&oe=650FCBED&_nc_sid=2999b8,2023-09-15T16:46:26.000Z,0
https://www.instagram.com/p/CwnSn9Fvbjf/,18004538101969231,Excellent quality,sujay189251,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=1&_nc_ohc=vPNH8G79zBoAX_a4eH0&edm=AAAAAAABAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfD72hAUHAwuLfcGgNisDTYUIRgkkPU-j-iusdTdahC93Q&oe=6510444F&_nc_sid=000000,2023-09-15T18:59:11.000Z,0
https://www.instagram.com/p/CwnSn9Fvbjf/,18383918335016780,Nice 👍,rupam______46,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-19/321816489_1320033205412576_5411177270852129605_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=108&_nc_ohc=FTqdDeBd-24AX-pvQHU&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDGhFdIICx3YWcOQm8x6wfoGKOLmr__JZWKDU0185NyRA&oe=65113D74&_nc_sid=2999b8,2023-09-15T21:13:55.000Z,0
https://www.instagram.com/p/CwnSn9Fvbjf/,18189115999302264,Prices is very high,itz_silent_boiiii4222,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-19/316867402_511585767567067_4852911508833412344_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_ohc=Qcv9GQI3xIYAX8d9Mm5&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDjiMHVnvdVtGgWZ68foutv_ikWhy8bM8mQtxVL1abO5A&oe=650F8335&_nc_sid=2999b8,2023-09-16T01:10:38.000Z,0
